type,duration,startX,startY,endX,endY,displacement,meanResultantLength,direction,v20,v50,v80,a20,a50,a80,v_last3_median,maxDevSigned,dev20,dev50,dev80,avgDirection,length,ratio_end_to_length,speed,acc_first5pct_median
humans,856418,685,1281,791,922,374.32205385202724,0.9657563555853174,-1.2836895560558204,9.24727205474385e-05,0.0002900877313433259,0.0008715510317413999,-9.568553455028456e-09,-2.0259757856135854e-09,9.477445237699227e-09,4.407810640454886e-05,23.54389731865453,-19.505129139108185,-4.456055909170062,0.7004663425565891,-1.2596193529654305,383.1023113376599,0.9770811680697643,0.00047201828346758224,2.3923293177080148e-08
humans,1872747,746,1195,867,620,587.5933968315164,0.9632785425939616,-1.3633877504602672,0.00012949458334110938,0.00027932847453125865,0.00043805399448051203,-8.756416821593932e-09,-2.8044947071978994e-10,7.670394160202895e-09,4.46907400786557e-05,21.67485214891184,-7.602536080372089,2.0507378171669886,5.606598062136872,-1.3343769970878572,604.6330332474789,0.9718182178627542,0.0003247806176013737,2.7166850971684476e-08
humans,857960,679,1234,761,930,314.8650504581288,0.9550572017054874,-1.3073297857599793,0.00012578930020838713,0.0002863863122775203,0.000613753346441656,-9.479112347024236e-09,-9.246942472163343e-10,6.794174999378738e-09,6.285672973790369e-05,25.26161601113533,-21.60417610688295,-13.901193522848798,-3.9216800918468575,-1.1957082471117069,326.6679693755489,0.9638687596461253,0.0004022068377872009,1.4513851256342283e-08
humans,2718408,846,841,558,1692,898.4124887822965,0.8928320173547264,1.8971227028275535,9.116292443080582e-05,0.0003451548882561049,0.0007098284822509216,-8.454849148817106e-09,-1.3185719333416908e-10,7.591245671013339e-09,3.509757124806963e-05,34.51087377694851,-23.04709725046735,2.3174210354332136,4.105463855471598,1.8632916203800793,932.0958072779121,0.9638628151391602,0.00035928148286203506,1.2895168229676997e-09
humans,1386684,574,1425,744,936,517.7074463439752,0.9618584507559609,-1.2362181315010232,0.00017381197879059865,0.0002646894655110642,0.0005955612267107254,-9.045891234651405e-09,-1.6187904909456224e-09,9.678251209876402e-09,0.000719651677970057,29.798682844808827,-27.666204342140198,-25.046964442123294,-15.902803906223573,-1.1983523520526016,530.6128084503803,0.9756783818617302,0.0003858056668659247,-8.339123235307112e-09
humans,564789,616,1316,735,960,375.3624914665822,0.9827842999581264,-1.2482033126144123,0.00043652995954421156,0.0005582286285127618,0.0011527757827474883,-1.1544100451072973e-08,-5.204093226352916e-10,1.0962892447205357e-08,0.0005667986401197529,23.22554916432333,-20.81134950239286,-17.761497623141043,-9.435679058293227,-1.1874579332574393,382.0186432305727,0.9825763692899848,0.0006901436101250557,1.658802825477285e-08
humans,191547,611,1263,705,1001,278.3522947633089,0.9815948752376857,-1.2263224115566134,0.001730713635622127,0.0018271384941319023,0.002436553958786569,-3.483217492299838e-09,1.3316723914344684e-08,4.4824897664556053e-08,0.003078102355188439,20.61416452441748,-19.66860019837588,-16.669523073073737,-8.034422715651312,-1.2607071007590023,283.46385377878596,0.9819675103286146,0.0015688202394141548,5.483322393823382e-09
humans,136502,626,1181,712,982,216.78791479231492,0.9798472743907818,-1.1628760821730129,0.001956599300975712,0.0027116695126853736,0.0028187540998016246,5.0732328678851155e-09,1.6444984159356783e-08,6.800388275671243e-08,0.0027903002508863446,16.27858270319551,-14.03214751576105,-10.065136712488695,-2.856247778356094,-1.2169282203710805,220.1053891646868,0.9849277912505373,0.0017514553128406686,1.6444984159356783e-08
humans,1679904,617,1157,773,835,357.7988261579403,0.9199704288128446,-1.119648066813452,8.91869853605609e-05,0.00012818032832167997,0.00028414093505211094,-6.457593763165431e-09,-1.479818745492705e-10,6.700899034763963e-09,0.00017980760586172796,15.293510207282061,-8.09505171132525,-2.4706621021998068,-0.7490242572279954,-1.106415755310271,374.24239143518673,0.9560617245572133,0.00022896949179375425,1.1569266412081447e-08
humans,440166,674,1158,693,1041,118.53269591129698,0.975598422407219,-1.4098085130240892,8.627275106179532e-05,0.000404804058279466,0.0006111440202593798,-7.972602857791627e-09,-4.386290642603967e-10,4.066969377966332e-09,4.460502252553638e-05,9.507925145340334,-5.638950458869103,0.0,1.2620990255039166,-1.4221183459608042,122.20449645337938,0.9699536379704067,0.0003093604586400776,4.717681345493785e-09
humans,936611,730,961,869,676,317.08989261721985,0.9590724863290734,-1.1170214576618003,0.0001250581896058288,0.00025822943493127384,0.00041981179284094385,-8.829353454028912e-09,3.1467180765873187e-10,9.305999203823287e-09,0.0015152942164950902,23.882817384980065,-22.06314412060221,-20.353849650424053,-18.15573480593295,-1.1132373937938103,326.99080629090923,0.9697211252328575,0.0003533610838990431,7.11294769648468e-09
humans,575593,694,889,856,621,313.1581070322146,0.3185552080510449,-1.0270909675942759,0.000171983889200484,0.0006811079084725442,0.002009055963180395,-2.1271187580604596e-08,-4.53881740068789e-09,1.796697582284385e-08,0.0019545238570057312,32.61611234273199,-29.748551261493166,-26.184856198394584,-19.347415455467445,-0.735496531658827,414.0294578335482,0.7563667297270265,0.0007339412283131334,-1.7965023627245874e-08
humans,101562,641,906,770,699,243.90571949013415,0.9694158234510462,-1.013500791677391,0.002430747679511901,0.004429512793659375,0.0049112968047740945,2.3268198894863545e-09,4.610467960814499e-08,1.7698698129811547e-07,0.0049112968047740945,17.379666245060996,-15.278854500788936,-9.606170797871647,-1.0577857728770277,-1.106817657171973,247.78997968390283,0.9843243855190444,0.0027367407356133377,4.610467960814499e-08
humans,428581,696,814,790,676,166.97305171793442,0.9497149338618637,-0.9728272758411219,8.371560823714681e-05,0.0003765546007916291,0.001018343868968904,-1.0872080706760233e-08,-9.848453071617034e-10,4.693496080294325e-09,5.0021654008764484e-05,5.186465666704849,-3.2939447074915322,-1.335544854128385,-0.7905467297979677,-0.9481133840050231,169.400615284073,0.9856696886131864,0.00044191733849877264,7.375692163072907e-09
humans,247635,688,1048,835,704,374.09223461601016,0.9617540089028773,-1.1669575411736213,0.0014180068221321903,0.0019664757912272973,0.0025509820929438104,-1.917727789443997e-08,1.4076976012620435e-08,3.71216025865205e-08,0.002561670533189335,37.006916260131085,-35.530275076795604,-29.72929927672984,-16.37777914927558,-1.2102871681382072,388.3311863630056,0.9633329687467205,0.0016392475447580609,2.2466712385749127e-08
humans,428495,677,947,846,678,317.6822311681911,0.9845296993103182,-1.0098613466962816,0.0004757858616271739,0.0006932584480655649,0.0010415167956126857,-1.139230547117433e-08,-2.08657108064284e-10,1.127597910543975e-08,0.0026204951079355733,23.52980200533311,-22.282643804060474,-20.795938053275343,-17.030225392542228,-1.0048937462625853,324.5451769261276,0.9788536504441764,0.0007776331063283279,-1.2425175603384812e-08
humans,135849,763,792,663,1116,339.08111124036384,0.9823840306483714,1.8701625608522485,0.002520909642034716,0.0033215558345069747,0.003571791785672028,-2.907617451336897e-08,2.208749108177355e-08,8.386361792850663e-08,0.003378135672970006,28.86624962444929,3.881077289106586,15.51251256892146,26.778253636084955,1.8837535346798309,345.4506836255283,0.9815615580252574,0.002766837134777647,2.208749108177355e-08
humans,305180,683,1151,695,999,152.47294842036735,0.9661877075418513,-1.492012365805753,0.0002731524397164403,0.0004220198694688949,0.0009708056131698761,-8.463479465021316e-09,-2.514907095822533e-09,1.0885254366329004e-08,0.0002785411486099163,13.799169110308538,-12.849492452907077,-10.283791428214728,-3.9036432768325273,-1.3895962352820208,157.9634954381398,0.9652416718018081,0.0005373986461165329,1.0393114639040507e-08
humans,791919,741,752,346,838,404.2536332551632,0.9422864428738147,2.927216678391648,0.00023083756961860295,0.000518721812547398,0.0009584749679853177,-9.678753837631569e-09,-2.313010294552667e-09,9.239808005777086e-09,8.833532087805309e-05,43.29707530161437,1.8993026576346634,14.48471830135422,32.336629592513475,2.8693497344243513,420.8506289494078,0.960563215182364,0.0005393163103686821,7.129561828845099e-09
humans,1434190,602,1022,826,336,721.6453422561528,0.9681379323172636,-1.2551806647561303,0.00019635259619414576,0.00032403780929751214,0.0005583237212690297,-9.50764789816608e-09,1.0377749991156556e-10,8.769814904200836e-09,0.0002771739556638075,50.09108752366758,-26.259990732779407,-13.230875945445892,-10.631261023613414,-1.2343342737398972,747.1475268903482,0.9658672702292996,0.0005250288300495751,2.9107349244926895e-08
humans,802888,710,1393,828,961,447.82585901218346,0.95836739051468,-1.3041525816201334,0.0003874119230854846,0.000611619750422626,0.0010273295244160707,-1.3916041285728822e-08,-9.70459012341453e-10,1.3479426288146488e-08,0.0001005126143330988,41.096331597723356,-36.23640679391521,-22.368069637817584,-5.095730749076542,-1.231641975604386,468.47003377327513,0.955932774195152,0.0007021812234672062,1.5349632091953986e-08
