type,duration,startX,startY,endX,endY,displacement,meanResultantLength,direction,v20,v50,v80,a20,a50,a80,v_last3_median,maxDevSigned,dev20,dev50,dev80,avgDirection,length,ratio_end_to_length,speed,acc_first5pct_median
humans,339274,805,1140,927,618,536.0671599715841,0.9898554296031611,-1.3412010654486277,0.001340264790384266,0.0017057443414695247,0.0024633265985182754,-2.4496980901846538e-08,-2.647804891150773e-09,3.152374882345153e-08,0.001919273313094117,23.526902861702137,-21.825623492064302,-18.99575418971716,-12.48351046229866,-1.3375951500362273,541.2504118932287,0.9904235603193092,0.0016501687878036344,4.123878713017636e-08
humans,621729,841,1125,928,608,524.2690149150529,0.9920504067386261,-1.4040797610444666,0.0005363238443544438,0.0009362663894637746,0.0013468623289380926,-1.1582570916453904e-08,-2.814258765831525e-09,6.611934891398624e-09,0.0001258757064862568,8.659676370032308,-6.363908423122422,-4.701784637032961,-0.09460791805145397,-1.3977449726577391,526.1774174746442,0.9963730815952715,0.0008951701227545684,1.8341024407498445e-08
humans,519622,793,1165,868,877,297.6054434986027,0.9861601611877551,-1.3160380243590017,0.00027753885028685094,0.0005396347170243275,0.001056393959932785,-1.269846967761665e-08,-4.5752440577733147e-10,6.542897044706665e-09,0.00012133964499125656,11.20947238324175,-6.5865730712321575,-3.5634428844208257,-0.4818460251069741,-1.3043965043327543,300.50244733287497,0.9903594667531503,0.0006183521457629847,1.904116887333996e-08
humans,395396,816,1243,927,704,550.3108212637654,0.9929157888215586,-1.3676987617427043,0.001063919073426124,0.001401526502889694,0.0018567424205376782,-1.5059226655460993e-08,2.6976975769008093e-10,1.6745674403606685e-08,0.0016278591154789625,17.69545432095465,-16.275166058759314,-14.797092271055012,-12.403899280636315,-1.3642015393737763,554.5374050593273,0.9923781808819376,0.0014433109977286687,5.6828171623873746e-09
humans,305136,842,1033,971,738,321.97204847626136,0.9904016182033643,-1.1585637262057713,0.0006856523476997816,0.0009704313763995269,0.0018652304983044024,-1.5503589212915362e-08,-5.061358097988584e-09,1.0069247859435776e-08,0.0006983332826590342,14.81495062249693,-11.261225988899238,-5.283067297456452,-1.1268058880171667,-1.1430261066503347,325.09617081333624,0.990390159535688,0.0011050814316712258,3.3992605832010006e-09
humans,1634875,700,255,155,440,575.5432216610669,0.9677330401527601,2.8143476489899344,0.00019687857588334887,0.00035840626091947675,0.0005319618195914327,-7.979643838426947e-09,2.276189306599037e-11,7.950838240135542e-09,0.0005066868174179093,23.464788554061005,10.99309271984776,14.490658018575994,21.11570346519833,2.78509683018479,588.8463410061679,0.9774081650530938,0.0003626524144272125,4.331235948990356e-09
humans,226661,249,1610,85,1195,446.22976144582736,0.9437130063153167,-1.9471412630938472,0.001977148160122624,0.0023545397681610705,0.0026409008423154733,-2.3805999514882375e-09,8.336079824069033e-09,2.4672443544286007e-08,0.002669318981404708,71.54834293560664,17.79038667048601,47.043029877666385,67.8820702183876,-1.9385443940984024,474.5359417857041,0.9403497652182908,0.0022057076405396676,2.609743882579167e-08
humans,90938,274,1594,104,1235,397.2165656162895,0.9719318303654091,-2.0130508036340267,0.0032433028437320217,0.0066365871197357935,0.0068212062293361,1.7000937311457046e-09,7.475815453486401e-08,1.6530378429283593e-07,0.006825128005555107,38.41229525844902,1.3503968525777994,18.909080461804336,33.98649796756205,-1.9348193053168814,407.2415768258927,0.9753831342866811,0.005107117843314431,1.463109821906247e-07
humans,102716,262,1578,133,1266,337.6166465090251,0.9655014145797602,-1.9628533453101633,0.003436755579663012,0.004800636069483507,0.005286852465538639,2.4835844874837612e-08,5.067786403974785e-08,1.4653656776372813e-07,0.005338052824983225,36.08530600008293,3.668065579126875,21.970184458312,34.26015902829838,-1.9004795199102857,348.43270654530136,0.9689579656757337,0.0038071755522869465,7.099161215609197e-08
humans,394972,234,1577,49,1193,426.2405424170723,0.9658759023672701,-2.0197545412311118,0.0009131379282471842,0.0011636187276530534,0.0013749601135144753,-1.2974573951189242e-08,9.161628489861838e-09,2.5787217744165197e-08,0.0026345925707224336,50.88206738151741,23.85929771562872,43.01561718185732,48.9047801079494,-1.9500116299889019,446.3938734705707,0.9548530294629434,0.0011632838031109167,1.4541936693119634e-08
