,meanResultantLength,ratio_end_to_length,maxDevSigned,a80,acc_first5pct_median,v80,a20,speed,v50,duration,length,v20,endY,displacement,v_last3_median,dev80,startY,a50,endX,startX,dev20,dev50,avgDirection,direction,svm_accuracy,xgb_accuracy,svm_tpr,svm_fpr,xgb_tpr,xgb_fpr
"(0, 'RAW')",0.9996906060254477,0.9996906060254477,0.9996519317786287,0.8961983215376881,0.8905132072552887,0.8852921839347179,0.8404687318714469,0.8125072514212786,0.8101094481184979,0.7462582666202576,0.6709981823103995,0.6591251885369533,0.6503267973856209,0.6387051862164984,0.6285725335499092,0.6210310554201957,0.6207603356924624,0.6147271531886916,0.592238078663418,0.5825695169586572,0.5503732064818037,0.5349808562478247,0.5105387322581892,0.5083729744363228,1.0,0.9896907216494846,1.0,0.0,1.0,0.021739130434782608
"(0, 'rotation_and_match')",0.5242483660130719,0.5093464052287582,0.6484313725490196,0.5358169934640523,0.5584967320261437,0.7,0.7450980392156863,0.7175816993464053,0.6905882352941176,0.5382352941176471,0.6498039215686274,0.6869281045751634,0.5627777777777778,0.6215032679738561,0.602156862745098,0.7123529411764706,0.5404575163398693,0.6767973856209151,0.566045751633987,0.612875816993464,0.6605228758169934,0.6760130718954248,0.5773202614379085,0.5586274509803921,0.9078947368421053,1.0,0.8333333333333334,0.043478260869565216,1.0,0.0
"(0, 'rotation_and_match_disturbance')",0.5758208608887342,0.5672738523417256,0.705495610472986,0.5484008198940327,0.5274393781181111,0.6718876899872375,0.7070039060989287,0.699114359747844,0.6631086359593147,0.5418648721816143,0.6772634102950845,0.6378543527864795,0.6536721197354682,0.64995939204084,0.5185056271029123,0.6932745484781684,0.6207603356924624,0.686622578025293,0.5882546312410566,0.5825695169586572,0.6093320957574351,0.633832231117299,0.597207719379665,0.5760915806164675,0.9381443298969072,0.9896907216494846,0.9215686274509803,0.043478260869565216,0.9803921568627451,0.0
"(0, 'b_spline_disturbance')",0.6783462892060177,0.5598483969524694,0.8899524306764126,0.779827512859187,0.8697838109602816,0.8772092663495379,0.7760374366709208,0.8115403952508025,0.8123138801871834,0.7693081177244074,0.6652743937811811,0.6667053409134857,0.6472135205166879,0.6351471555091465,0.6196774567815292,0.5977878330819507,0.619928839385853,0.6213404493947481,0.5932822833275322,0.5823954828479716,0.5111381830838845,0.551088680047956,0.5489809335963183,0.5405112735429477,1.0,1.0,1.0,0.0,1.0,0.0
"(1, 'RAW')",0.9999386044798264,0.9999283718931309,0.9999795348266088,0.847994924636999,0.8603354241918815,0.8368516377255006,0.8375065232740184,0.6858595884453631,0.6898912276034259,0.6864940088204897,0.5400656932065857,0.5189149365067995,0.6189282388695038,0.5025632629672455,0.5425522117736142,0.6661720916430465,0.564465296182222,0.6944754264430506,0.5134098048645717,0.5573434158420907,0.562485290656625,0.5404136011542358,0.5483540884300142,0.5393596447245899,0.974025974025974,0.9913419913419913,0.8958333333333334,0.00546448087431694,0.9583333333333334,0.0
"(1, 'rotation_and_match')",0.6309053337269429,0.6193446400853244,0.7671148736799003,0.5425336393330222,0.5815676452943025,0.6817190580034472,0.7682433268895639,0.7013455733208902,0.6479987810800774,0.5891478035634362,0.7615964041862281,0.6010798868689946,0.5360152745902811,0.73028539867252,0.5289636323813696,0.7151488891639923,0.5312205388006971,0.7320471188732608,0.5224309834207845,0.5178171810572225,0.6155164697031739,0.6557455885573893,0.5604746169448915,0.5392625534467818,0.9572649572649573,0.9914529914529915,0.8653846153846154,0.016483516483516484,0.9807692307692307,0.005494505494505495
"(1, 'rotation_and_match_disturbance')",0.5386945265893766,0.5933467721305269,0.5898472274806348,0.5592210955007316,0.5510964216644325,0.5642862259150491,0.6617618467772467,0.5894583891862024,0.5623062203894522,0.5400963909666725,0.5529280546829433,0.5483540884300142,0.6126403143450633,0.521130291526395,0.5105702620565453,0.7235820192986585,0.564465296182222,0.6420436522148434,0.5161214403389033,0.5573434158420907,0.7049433626326399,0.7053424335137679,0.5741299743162074,0.5630071525781002,0.9437229437229437,0.974025974025974,0.8125,0.02185792349726776,0.8958333333333334,0.00546448087431694
"(1, 'b_spline_disturbance')",0.77855659132072,0.6798837578151381,0.8711921986759033,0.7091591883512233,0.8556591320719965,0.8249818371586153,0.7745147195759616,0.6836595823058111,0.6922856528901942,0.7413713712689429,0.5294851985633449,0.5087642105047735,0.6238654619501264,0.5064772273783089,0.554534570794151,0.5846439571459269,0.5649922743970448,0.6742046721990852,0.5130721295036171,0.556985275307745,0.5156098110041237,0.5309484584608142,0.5496229291802674,0.5430740736950894,0.9567099567099567,0.987012987012987,0.8125,0.00546448087431694,0.9375,0.0
"(2, 'RAW')",1.0,1.0,1.0,0.8728073463268367,0.8767053973013493,0.8661731634182909,0.8468890554722639,0.7399550224887557,0.739523988005997,0.5847263868065968,0.754047976011994,0.5751874062968516,0.5191435532233883,0.7142616191904048,0.5517241379310345,0.69851011994003,0.5091547976011994,0.6810532233883059,0.5499437781109445,0.5055940779610194,0.5126311844077961,0.5902173913043478,0.5001311844077961,0.5104572713643178,0.9884393063583815,1.0,0.9428571428571428,0.0,1.0,0.0
"(2, 'rotation_and_match')",0.5783147682357168,0.5681458857348185,0.8088303988501617,0.5174272367948258,0.6008444125044916,0.6844412504491556,0.8190621631333094,0.7300754581386992,0.6629716133668703,0.634504132231405,0.8545813869924541,0.6342256557671577,0.6945742005030542,0.8253772906934962,0.5319619116061804,0.7379177146963709,0.6937926697808121,0.7547430830039525,0.6178763923823213,0.6001167804527489,0.6377829680201221,0.6810097017606899,0.5682177506288177,0.5865612648221343,0.9371428571428572,0.9714285714285714,0.7777777777777778,0.02158273381294964,0.8611111111111112,0.0
